Folder Name,Song Name,Artist,Album,Year,Charter,Diff Band,Diff Guitar,Diff Bass,Diff Drums,Diff Keys,Diff Vocals,Diff Pro Guitar,Diff Pro Bass,Diff Pro Keys,Diff Pro Drums,Diff Vocal Harmonies,Has Pro Guitar,Has Pro Keys,Has Pro Drums,Has Vocal Harmonies,Audio Tracks,Guitar Tuning,Bass Tuning,S.SterrGtuning,S.SterrBtuning,S.SterrStatus
Billy Joel - We Didn't Start the Fire,We Didn't Start the Fire,Billy Joel,Storm Front,1989,Harmonix,1,2,2,1,1,3,-1,-1,1,1,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0 0,matched
Billy Joel - You May Be Right,You May Be Right,Billy Joel,Glass Houses,1980,Harmonix,4,3,2,3,4,4,-1,-1,4,3,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Billy Squier - Everybody Wants You,Everybody Wants You,Billy Squier,Emotions in Motion,1982,Harmonix,2,3,3,2,2,3,-1,-1,2,2,-1,FALSE,TRUE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Billy Squier - The Stroke,The Stroke,Billy Squier,Don't Say No,1981,Harmonix,1,2,2,1,1,5,1,1,1,1,-1,TRUE,TRUE,TRUE,FALSE,"drums.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Black Veil Brides - Rebel Love Song (2x Bass Pedal Expert+),Rebel Love Song,Black Veil Brides,Set the World on Fire,2011,Harmonix,4,5,3,4,-1,2,-1,-1,-1,4,2,FALSE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-3 -1 -1 -1 -1 -1,-3 -1 -1 -1,matched
Blink-182 - Stay Together for the Kids,Stay Together for the Kids,Blink-182,Take Off Your Pants and Jacket,2001,Harmonix,1,2,1,3,2,2,-1,-1,2,3,2,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Blink-182 - The Party Song,The Party Song,Blink-182,Enema of the State,1999,Harmonix,5,3,3,6,-1,4,-1,-1,-1,6,4,FALSE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Blink-182 - Up All Night,Up All Night,Blink-182,Neighborhoods,2011,Harmonix,4,3,3,5,3,3,3,2,3,5,3,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Blondie - Heart of Glass,Heart of Glass,Blondie,Parallel Lines,1978,Harmonix,2,2,1,4,1,3,3,2,1,4,3,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
"Blood, Sweat & Tears - Spinning Wheel",Spinning Wheel,"Blood, Sweat & Tears","Blood, Sweat & Tears",1968,Harmonix,4,3,3,4,2,3,-1,-1,3,4,-1,FALSE,TRUE,TRUE,FALSE,"drums.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,Unknown,0 0 0 0,matched
B.o.B. (featuring Hayley Williams) - Airplanes,Airplanes,B.o.B. (featuring Hayley Williams),B.o.B Presents: The Adventures of Bobby Ray,2010,Harmonix,1,0,0,3,0,2,-1,-1,1,3,2,FALSE,TRUE,TRUE,TRUE,"drums.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Bob Marley and the Wailers - Bend Down Low,Bend Down Low,Bob Marley and the Wailers,Natty Dread,1974,Harmonix,1,1,2,3,1,4,-1,-1,1,3,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,Unknown,Unknown,matched_no_guitar_or_bass_track
Bob Marley and the Wailers - Burnin' and Lootin',Burnin' and Lootin',Bob Marley and the Wailers,Burnin',1973,Harmonix,2,1,2,3,4,3,-1,-1,3,3,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,Unknown,22 22 21 21,matched
Bob Marley and the Wailers - Coming in from the Cold,Coming in from the Cold,Bob Marley and the Wailers,Uprising,1980,Harmonix,1,1,2,3,1,4,-1,-1,1,3,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
"Bob Marley and the Wailers - Get Up, Stand Up","Get Up, Stand Up",Bob Marley and the Wailers,Legend,1984,Harmonix,1,1,4,2,3,5,0,3,2,2,5,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,Unknown,Unknown,matched_no_guitar_or_bass_track
Bob Marley and the Wailers - Kaya,Kaya,Bob Marley and the Wailers,Kaya,1978,Harmonix,1,1,2,3,2,2,-1,-1,2,3,2,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,Unknown,Unknown,matched_no_guitar_or_bass_track
Bob Marley and the Wailers - Lively Up Yourself,Lively Up Yourself,Bob Marley and the Wailers,Natty Dread,1974,Harmonix,3,4,2,3,3,3,-1,-1,3,3,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,Unknown,Unknown,matched_no_guitar_or_bass_track
Bob Marley and the Wailers - No More Trouble,No More Trouble,Bob Marley and the Wailers,Catch a Fire,1973,Harmonix,1,2,2,3,1,3,-1,-1,1,3,3,FALSE,TRUE,TRUE,TRUE,"drums.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Bob Marley and the Wailers - Small Axe,Small Axe,Bob Marley and the Wailers,Burnin',1973,Harmonix,2,3,2,3,4,3,-1,-1,4,3,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Bob Marley and the Wailers - Them Belly Full (But We Hungry),Them Belly Full (But We Hungry),Bob Marley and the Wailers,Natty Dread,1974,Harmonix,3,4,2,3,3,3,2,1,3,3,3,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Bon Jovi - Bad Medicine,Bad Medicine,Bon Jovi,New Jersey,1988,Harmonix,3,5,3,2,4,2,-1,-1,4,2,2,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Bon Jovi - Blaze of Glory,Blaze of Glory,Bon Jovi,Blaze of Glory,1990,Harmonix,2,4,2,3,1,3,-1,-1,1,3,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-2 0 0 0 0 0,0 0 0 0,matched
Bon Jovi - Have a Nice Day,Have a Nice Day,Bon Jovi,Have a Nice Day,2005,Harmonix,1,3,2,3,1,2,-1,-1,1,3,2,FALSE,TRUE,TRUE,TRUE,"drums.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Bon Jovi - I'll Be There for You,I'll Be There for You,Bon Jovi,New Jersey,1988,Harmonix,1,4,2,1,2,2,-1,-1,2,1,2,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Bon Jovi - It's My Life,It's My Life,Bon Jovi,Crush,2000,Harmonix,1,2,2,1,2,2,-1,-1,1,1,2,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0 0,matched
Bon Jovi - Lay Your Hands on Me,Lay Your Hands on Me,Bon Jovi,New Jersey,1988,Harmonix,1,4,3,2,3,2,-1,-1,2,2,2,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,-2 0 0 0,matched
Bon Jovi - Livin' on a Prayer (RB3 version),Livin' on a Prayer (RB3 version),Bon Jovi,Slippery When Wet,1986,Harmonix,3,3,4,1,2,4,2,4,3,1,4,TRUE,TRUE,TRUE,TRUE,"crowd.ogg, drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Bon Jovi - Runaway,Runaway,Bon Jovi,Bon Jovi,1984,Harmonix,3,4,2,2,5,3,3,1,5,2,3,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Bon Jovi - Wanted Dead or Alive (RB3 version),Wanted Dead or Alive (RB3 version),Bon Jovi,Slippery When Wet,1986,Harmonix,2,4,4,0,4,2,5,1,4,0,2,TRUE,TRUE,TRUE,TRUE,"crowd.ogg, drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Bon Jovi - We Weren't Born to Follow,We Weren't Born to Follow,Bon Jovi,The Circle,2009,Harmonix,1,3,2,1,1,3,-1,-1,1,1,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Bon Jovi - Who Says You Can't Go Home,Who Says You Can't Go Home,Bon Jovi,Have a Nice Day,2005,Harmonix,1,3,2,2,2,4,-1,-1,2,2,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Bon Jovi - You Give Love a Bad Name (RB3 version),You Give Love a Bad Name (RB3 version),Bon Jovi,Slippery When Wet,1986,Harmonix,1,3,1,1,2,2,3,3,3,1,2,TRUE,TRUE,TRUE,TRUE,"crowd.ogg, drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Bonnie Tyler - Total Eclipse of the Heart,Total Eclipse of the Heart,Bonnie Tyler,Faster Than the Speed of Night,1983,Harmonix,3,4,1,4,3,4,-1,-1,4,4,4,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Breaking Benjamin - Breath (2x Bass Pedal Expert+),Breath,Breaking Benjamin,Phobia,2006,Harmonix,2,2,2,3,-1,3,2,2,-1,3,3,TRUE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",-2 0 0 0 0 0,-2 0 0 0,-6 -4 -4 -4 -4 -4,-6 -4 -4 -4,matched
Breaking Benjamin - Sooner or Later,Sooner or Later,Breaking Benjamin,We Are Not Alone,2004,Harmonix,2,3,3,3,-1,2,-1,-1,-1,3,2,FALSE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-4 -2 -2 -2 -2 -2,-2 -4 -2 -2 -2,matched
Breaking Benjamin - Until the End (2x Bass Pedal Expert+),Until the End,Breaking Benjamin,Phobia,2006,Harmonix,4,3,2,4,-1,3,-1,-1,-1,4,3,FALSE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-6 -4 -4 -4 -4 -4,-6 -4 -4 -4,matched
Bruno Mars - Grenade,Grenade,Bruno Mars,Doo-Wops & Hooligans,2010,Harmonix,1,0,1,3,3,3,-1,-1,3,3,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,Unknown,0 0 0 0,matched
