Song Name,Guitar Tuning,Bass Tuning
"sirduke","0 0 0 0 0 0","0 0 0 0"
"smellsliketeen","0 0 0 0 0 0","0 0 0 0"
"smooth","0 0 0 0 0 0","0 0 0 0"
"snuff","0 0 0 0 0 0","0 0 0 0"
"somebodytolove","0 0 0 0 0 0","0 0 0 0"
"somebodytolove2","0 0 0 0 0 0","0 0 0 0"
"somethingintheway","-2 0 0 0 0 0","-2 0 0 0"
"spanishbombs","0 0 0 0 0 0","0 0 0 0"
"stash","0 0 0 0 0 0","0 0 0 0"
"stayaway","0 0 0 0 0 0","0 0 0 0"
"stayinalive","0 0 0 0 0 0","0 0 0 0"
"stonecoldcrazy","0 0 0 0 0 0","0 0 0 0"
"stopdragginmyheart","0 0 0 0 0 0","0 0 0 0"
"subdivisions","0 0 0 0 0 0","0 0 0 0"
"sugarweregoindown","-2 0 0 0 0 0","-2 0 0 0"
"superbad","0 0 0 0 0 0","0 0 0 0"
"superchargerheaven","0 0 0 0 0 0","0 0 0 0"
"surrender","0 0 0 0 0 0","0 0 0 0"
"sweethomealabamalive","0 0 0 0 0 0","0 0 0 0"
"takeonme","0 0 0 0 0 0","0 0 0 0"
"tenementfunster","0 0 0 0 0 0","0 0 0 0"
"tennesseeflattopbox","0 0 0 0 0 0","0 0 0 0"
"territorialpissing","0 0 0 0 0 0","0 0 0 0"
"raindancemaggie","0 0 0 0 0 0","0 0 0 0"
"thecardcheat","0 0 0 0 0 0","0 0 0 0"
"thedayitriedtolive","0 -5 -3 4 0 -5","0 0 0 0"
"thegoodleftundone","0 0 0 0 0 0","0 0 0 0"
"thembellyfull","0 0 0 0 0 0","0 0 0 0"
"thepretender","0 0 0 0 0 0","0 0 0 0"
"thespiritofradiolive","0 0 0 0 0 0","0 0 0 0"
"thethrillisgone","0 0 0 0 0 0","0 0 0 0"
"thislove","0 0 0 0 0 0","-2 0 0 0"
"throughthefireandflames","0 0 0 0 0 0","0 0 0 0"
"turningjapanese","0 0 0 0 0 0","0 0 0 0"
"unbelievable","0 0 0 0 0 0","0 0 0 0"
"undefeated","-2 0 0 0 0 0","-2 0 0 0"
